event_id,event_date,event,category,status,main_scope,included_primary,source_verified,source_url,source_note,state_basis,exact_transition_time_verified
HZ-2026-02-28,2026-02-28,"United States and Israel begin strikes against Iran; the conflict starts.",strike,restricted,strait_of_hormuz,true,true,https://commonslibrary.parliament.uk/research-briefings/cbp-10636/,"UK House of Commons Library briefing","Conflict-start warning state; this row is not presented as proof that the waterway was physically closed.",false
HZ-2026-03-02,2026-03-02,"Iran asserts control over and restricts commercial passage through the Strait of Hormuz.",closure,severely_restricted,strait_of_hormuz,true,true,https://apnews.com/article/04da58cbae991183f8b52ef5bf615963,"Associated Press conflict timeline","Source-verified restriction/closure event; exact transition hour is not verified.",false
HZ-2026-04-07,2026-04-07,"A two-week ceasefire agreement is reached.",ceasefire,severely_restricted,strait_of_hormuz,false,true,https://apnews.com/article/04da58cbae991183f8b52ef5bf615963,"Associated Press conflict timeline","Ceasefire alone does not establish an open Strait, so it does not change the primary state.",false
HZ-2026-04-13,2026-04-13,"United States begins a naval blockade of Iranian ports.",blockade,severely_restricted,iranian_ports_not_general_strait_transit,false,true,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4542098/us-forces-to-resume-naval-blockade-against-iran/,"CENTCOM public release","Scope is Iranian ports; the source explicitly does not establish a general Strait closure.",false
HZ-2026-06-15,2026-06-15,"United States and Iran reach an initial agreement to open the Strait and extend the ceasefire.",diplomatic,severely_restricted,strait_of_hormuz,false,true,https://apnews.com/article/c9cf4cae2651d343a9f2eda4132de215,"Associated Press conflict chronology","RECODED (was included_primary=true, status=open): this is a diplomatic agreement-to-open, not a measured reopening. IMF PortWatch recorded 7-10 transits/day on 15-17 June (9-12% of the 81/day pre-conflict median baseline), below the 20% severely-restricted threshold. Excluded from primary state determination; the severely-restricted state continues until the independently observed 18 June transition.",false
HZ-2026-06-18,2026-06-18,"JMIC advisory confirms that the Strait was open and blockade operations had ceased.",status_observation,restricted,strait_of_hormuz,true,true,https://wwwcdn.imo.org/localresources/en/MediaCentre/HotTopics/Documents/JMIC%20Advisory%20Note%2000926%20SoH%20open.pdf,"Joint Maritime Information Center via IMO","RECODED (was status=open): PortWatch recorded 20 transits on 18 June, 24.7% of the 81/day pre-conflict baseline, inside the 20-70% restricted band rather than the >=70% open band. The advisory's own text says 'open_with_moderate_threat'; the word 'open' in the headline is not treated as a measured state here. Traffic stays in the 20-63% range through early July, so 'restricted' (a partial, contested corridor) is used, not 'open'.",false
HZ-2026-07-06,2026-07-06,"Iran strikes three commercial vessels that had bypassed its Iran-approved transit route through the Strait, breaking down the June memorandum of understanding.",attack,severely_restricted,strait_of_hormuz,true,true,https://www.aljazeera.com/news/2026/7/7/ships-attacked-in-the-strait-of-hormuz-what-that-means-for-ongoing-talks,"Al Jazeera conflict coverage; cross-checked against the Wikipedia-maintained List of ships attacked during the 2026 Iran war.","NEW: source-verified attack event ending the partial-reopening window. PortWatch shows traffic falling from the 20-60% range of 18 June-4 July back toward single-digit percentages within days.",false
HZ-2026-07-08,2026-07-08,"The June US-Iran memorandum of understanding collapses after the renewed attacks.",ceasefire_collapse,severely_restricted,strait_of_hormuz,false,true,https://www.aljazeera.com/news/2026/7/7/ships-attacked-in-the-strait-of-hormuz-what-that-means-for-ongoing-talks,"Al Jazeera conflict coverage.","NEW: corroborating annotation. Does not itself change the primary state, which already reverted to severely restricted on 6 July.",false
HZ-2026-07-12,2026-07-12,"IRGC Navy declares the Strait of Hormuz closed until United States intervention in the region ends.",closure,severely_restricted,strait_of_hormuz,false,true,https://www.tasnimnews.ir/en/news/2026/07/12/3645009/irgc-navy-declares-closure-of-hormuz-strait,"Iranian state media reporting the IRGC's own declaration; same sourcing tier as the CENTCOM-sourced US blockade rows.","NEW: corroborating annotation of the general-Strait closure. Does not itself change the primary state, which already reverted to severely restricted on 6 July.",false
HZ-2026-07-13,2026-07-13,"United States forces resume the naval blockade against Iran.",blockade,severely_restricted,iranian_ports_not_general_strait_transit,false,true,https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4542098/us-forces-to-resume-naval-blockade-against-iran/,"CENTCOM public release","RECODED (was status=open): scope is Iranian ports and non-general Strait transit, so this remains a sensitivity marker only, not a primary event. Status field updated from 'open' to 'severely_restricted' to match the recoded ongoing state (already severely restricted from the 6-12 July events), consistent with the 2026-04-07 ceasefire row's convention of describing the continuing state rather than the individual event's own character.",false
